Channel Name,Category,AXEL HD BANGLA,ONYXPLAY BANGLA HD +,ACE HD BANGLA,ONYXPLAY BANGLA HD
Star Jalsha HD,Bengali Entertainment,Yes,Yes,Yes,Yes
Colors Bangla HD,Bengali Entertainment,Yes,Yes,Yes,Yes
Zee Bangla HD,Bengali Entertainment,Yes,No,Yes,No
Sony Aath,Bengali Entertainment,Yes,No,Yes,No
Jalsha Movies HD,Bengali Movies,Yes,Yes,Yes,Yes
Colors Bangla Cinema,Bengali Movies,Yes,Yes,Yes,Yes
Zee Bangla Cinema,Bengali Movies,Yes,No,Yes,No
Colors HD,Hindi Entertainment,Yes,Yes,Yes,Yes
Star Bharat HD,Hindi Entertainment,Yes,Yes,Yes,Yes
Star Plus HD,Hindi Entertainment,Yes,Yes,Yes,Yes
Sony TV HD,Hindi Entertainment,Yes,No,Yes,No
Sony Sab HD,Hindi Entertainment,Yes,No,Yes,No
Zee TV HD,Hindi Entertainment,Yes,No,Yes,No
&TV HD,Hindi Entertainment,Yes,No,Yes,No
Star Utsav,Hindi Entertainment (FTA),Yes,Yes,Yes,Yes
Colors Rishtey,Hindi Entertainment (FTA),Yes,Yes,Yes,Yes
Sony Pal,Hindi Entertainment (FTA),Yes,Yes,Yes,Yes
Zee Anmol,Hindi Entertainment (FTA),Yes,Yes,Yes,Yes
Big Magic,Hindi Entertainment (FTA),Yes,Yes,Yes,Yes
Colors Infinity HD,English Entertainment,Yes,Yes,No,No
Disney International HD,English Entertainment,Yes,No,No,No
Zee Cafe HD,English Entertainment,Yes,No,Yes,No
Star Movies HD,English Movies,Yes,Yes,No,No
Star Movies Select HD,English Movies,Yes,Yes,No,No
&Prive HD,English Movies,Yes,No,Yes,No
&Flix HD,English Movies,Yes,No,Yes,No
Sony Pix HD,English Movies,Yes,No,No,No
Star Gold HD,Hindi Movies,Yes,Yes,Yes,Yes
Star Gold 2 HD,Hindi Movies,Yes,Yes,Yes,Yes
Star Gold Romance,Hindi Movies,Yes,Yes,Yes,Yes
Star Gold Thrills,Hindi Movies,Yes,Yes,Yes,Yes
Star Gold Select HD,Hindi Movies,Yes,Yes,No,No
Colors Cineplex HD,Hindi Movies,Yes,Yes,Yes,Yes
Zee Cinema HD,Hindi Movies,Yes,No,Yes,No
&Pictures HD,Hindi Movies,Yes,No,Yes,No
Sony Max HD,Hindi Movies,Yes,No,Yes,No
Sony Max 1,Hindi Movies,Yes,No,Yes,No
Sony Max 2,Hindi Movies,Yes,No,Yes,No
Star Utsav Movies,Hindi Movies (FTA),Yes,Yes,Yes,Yes
Colors Cineplex Bollywood,Hindi Movies (FTA),Yes,Yes,Yes,Yes
Colors Cineplex Superhits,Hindi Movies (FTA),Yes,Yes,Yes,Yes
Zee Anmol Cinema,Hindi Movies (FTA),Yes,Yes,Yes,Yes
Zee Anmol Cinema 2,Hindi Movies (FTA),Yes,Yes,Yes,Yes
Action Cinema,Hindi Movies (FTA),Yes,Yes,Yes,Yes
Disney Channel HD,Kids,Yes,Yes,No,Yes
Disney Junior,Kids,Yes,Yes,No,Yes
Super Hungama,Kids,Yes,Yes,No,Yes
Nick HD+,Kids,Yes,Yes,Yes,Yes
Nick,Kids,Yes,Yes,Yes,Yes
Nick Jr,Kids,Yes,Yes,Yes,Yes
Hungama TV,Kids,Yes,Yes,Yes,Yes
Sonic,Kids,Yes,Yes,Yes,Yes
Pogo,Kids,Yes,No,Yes,No
Cartoon Network,Kids,Yes,No,Yes,No
Discovery Kids,Kids,Yes,No,Yes,No
Sony Yay!,Kids,Yes,No,Yes,No
Star Sports 1 HD Hindi,Sports,Yes,Yes,Yes,Yes
Star Sports 2 Hindi HD,Sports,Yes,Yes,Yes,Yes
Star Sports 3,Sports,Yes,Yes,Yes,Yes
Star Sports Khel,Sports,Yes,Yes,Yes,Yes
Star Sports HD1,Sports,Yes,Yes,No,No
Sony Sports Ten 1 HD,Sports,Yes,No,No,No
Sony Sports Ten 2 HD,Sports,Yes,No,No,No
Sony Sports Ten 3 HD,Sports,Yes,No,Yes,No
Sony Sports Ten 5 HD,Sports,Yes,No,No,No
Euro Sports,Sports,Yes,No,Yes,No
National Geographic HD,Infotainment,Yes,Yes,Yes,Yes
Nat Geo Wild HD,Infotainment,Yes,Yes,Yes,Yes
History TV18 HD,Infotainment,Yes,Yes,Yes,Yes
Discovery HD,Infotainment,Yes,No,Yes,No
Animal Planet,Infotainment,Yes,No,Yes,No
Discovery Turbo,Infotainment,Yes,No,Yes,No
Discovery Science,Infotainment,Yes,No,Yes,No
Investigation Discovery,Infotainment,Yes,No,Yes,No
Sony BBC Earth HD,Infotainment,Yes,No,Yes,No
Zee Zest HD,Lifestyle,Yes,No,Yes,No
Epic TV,Lifestyle,Yes,No,No,No
Good Times,Lifestyle,Yes,Yes,Yes,Yes
MTV HD,Music/Youth,Yes,Yes,No,No
Zing,Music,Yes,No,Yes,No
Showbox,Music,Yes,No,No,No
Sony Wah,Music (FTA),Yes,Yes,Yes,Yes
News18 Bangla,News,Yes,Yes,Yes,Yes
Zee 24 Ghanta,News,Yes,Yes,Yes,Yes
NDTV 24x7,News,Yes,Yes,Yes,Yes
News18 India,News (Hindi),Yes,Yes,Yes,Yes
ZEE News,News (Hindi),Yes,Yes,Yes,Yes
ZEE Hindustan,News (Hindi),Yes,Yes,Yes,Yes
CNBC TV18,Business News,Yes,Yes,Yes,Yes
Zee Business,Business News,Yes,Yes,Yes,Yes
NDTV Profit,Business News,Yes,Yes,Yes,Yes
Star Kiran,Regional (Odia),Yes,No,No,No
Zee Sarthak,Regional (Odia),Yes,No,No,No
Etv Balbharat,Educational,Yes,No,No,No
